Data,Data1,D
1.510000e+04,-7.28e+01,
1.512500e+04,-6.48e+01,
1.515000e+04,-7.44e+01,
1.517500e+04,-6.88e+01,
1.520000e+04,-7.04e+01,
1.522500e+04,-6.08e+01,
1.525000e+04,-6.24e+01,
1.527500e+04,-6.32e+01,
1.530000e+04,-6.56e+01,
1.532500e+04,-6.32e+01,
1.535000e+04,-6.96e+01,
1.537500e+04,-6.40e+01,
1.540000e+04,-6.56e+01,
1.542500e+04,-6.56e+01,
1.545000e+04,-7.36e+01,
1.547500e+04,-5.84e+01,
1.550000e+04,-7.44e+01,
1.552500e+04,-6.40e+01,
1.555000e+04,-6.40e+01,
1.557500e+04,-6.88e+01,
1.560000e+04,-8.00e+01,
1.562500e+04,-6.56e+01,
1.565000e+04,-6.08e+01,
1.567500e+04,-7.12e+01,
1.570000e+04,-6.80e+01,
1.572500e+04,-6.48e+01,
1.575000e+04,-6.72e+01,
1.577500e+04,-6.48e+01,
1.580000e+04,-6.08e+01,
1.582500e+04,-5.76e+01,
1.585000e+04,-6.64e+01,
1.587500e+04,-7.20e+01,
1.590000e+04,-6.80e+01,
1.592500e+04,-6.80e+01,
1.595000e+04,-6.16e+01,
1.597500e+04,-6.48e+01,
1.600000e+04,-7.68e+01,
1.602500e+04,-6.64e+01,
1.605000e+04,-6.56e+01,
1.607500e+04,-6.56e+01,
1.610000e+04,-6.24e+01,
1.612500e+04,-6.40e+01,
1.615000e+04,-6.40e+01,
1.617500e+04,-6.16e+01,
1.620000e+04,-6.80e+01,
1.622500e+04,-8.32e+01,
1.625000e+04,-6.40e+01,
1.627500e+04,-6.00e+01,
1.630000e+04,-6.64e+01,
1.632500e+04,-6.00e+01,
1.635000e+04,-6.32e+01,
1.637500e+04,-6.96e+01,
1.640000e+04,-6.24e+01,
1.642500e+04,-6.88e+01,
1.645000e+04,-6.40e+01,
1.647500e+04,-6.56e+01,
1.650000e+04,-6.08e+01,
1.652500e+04,-6.00e+01,
1.655000e+04,-6.88e+01,
1.657500e+04,-6.80e+01,
1.660000e+04,-6.24e+01,
1.662500e+04,-6.32e+01,
1.665000e+04,-7.20e+01,
1.667500e+04,-6.48e+01,
1.670000e+04,-6.32e+01,
1.672500e+04,-6.72e+01,
1.675000e+04,-6.48e+01,
1.677500e+04,-6.08e+01,
1.680000e+04,-6.08e+01,
1.682500e+04,-6.88e+01,
1.685000e+04,-6.48e+01,
1.687500e+04,-7.20e+01,
1.690000e+04,-6.48e+01,
1.692500e+04,-5.92e+01,
1.695000e+04,-7.68e+01,
1.697500e+04,-6.72e+01,
1.700000e+04,-6.56e+01,
1.702500e+04,-6.64e+01,
1.705000e+04,-6.48e+01,
1.707500e+04,-6.32e+01,
1.710000e+04,-6.00e+01,
1.712500e+04,-6.72e+01,
1.715000e+04,-7.28e+01,
1.717500e+04,-6.72e+01,
1.720000e+04,-6.88e+01,
1.722500e+04,-6.56e+01,
1.725000e+04,-6.56e+01,
1.727500e+04,-7.04e+01,
1.730000e+04,-6.00e+01,
1.732500e+04,-7.36e+01,
1.735000e+04,-7.04e+01,
1.737500e+04,-6.80e+01,
1.740000e+04,-6.72e+01,
1.742500e+04,-5.92e+01,
1.745000e+04,-6.40e+01,
1.747500e+04,-6.32e+01,
1.750000e+04,-6.00e+01,
1.752500e+04,-7.04e+01,
1.755000e+04,-7.44e+01,
1.757500e+04,-6.16e+01,
1.760000e+04,-5.68e+01,
1.762500e+04,-6.56e+01,
1.765000e+04,-7.28e+01,
1.767500e+04,-6.48e+01,
1.770000e+04,-7.44e+01,
1.772500e+04,-7.44e+01,
1.775000e+04,-6.16e+01,
1.777500e+04,-6.00e+01,
1.780000e+04,-6.32e+01,
1.782500e+04,-6.56e+01,
1.785000e+04,-6.32e+01,
1.787500e+04,-6.48e+01,
1.790000e+04,-6.96e+01,
1.792500e+04,-6.96e+01,
1.795000e+04,-6.32e+01,
1.797500e+04,-7.12e+01,
1.800000e+04,-5.92e+01,
